rainfall(mm),avgT,LowT,HighT,seoulDiag,seoulDadd,under_treatment,cured,dead,sus_patient,sus_patient_checking,sus_pat_negative
13.6,27.3,26,29.7,3532,146,1751,1762,19,0,0,0
13.6,26.8,25.5,29,3657,125,1750,1887,20,0,0,0
42.5,26.8,24.4,30.6,3773,116,1863,1888,22,0,0,0
0,26.4,23.8,30,3867,94,1945,1899,23,0,0,0
0,26.6,23.8,29.5,3961,94,1937,2001,23,0,0,0
33.3,24.3,22.6,26.4,4062,101,1990,2048,24,0,0,0
29.8,22.7,20,25.6,4131,69,1996,2111,24,0,0,0
0,23.3,19.9,27.5,4201,68,2001,2176,24,0,0,0
0,23.3,19.2,27.3,4251,51,2006,2220,25,0,0,0
6.4,21.7,19.5,24.4,4314,63,2063,2225,26,0,0,0
61,19.2,17.5,20.6,4362,48,2068,2266,28,0,0,0
0,23.4,20.6,26.5,4429,67,1960,2437,32,0,0,0
1.3,21.1,19,25.3,4478,49,1803,2643,32,0,0,0
3.9,22.8,18.8,27,4526,48,1732,2762,32,0,0,0
1.2,22.4,19.2,27.1,4589,63,1718,2837,34,0,0,0
5.7,20.2,18.1,23.2,4639,50,1533,3071,35,0,0,0
0,21.5,16.7,26.6,4670,31,1520,3112,38,0,0,0
0,21.3,17.6,24.9,4711,41,1395,3276,40,0,0,0
0,23,18.9,27.7,4743,32,1208,3493,42,0,0,0
0.3,22.5,21.3,24.9,4794,51,1058,3694,42,0,0,0
0,21.3,20.1,23.6,4857,63,1066,3748,43,0,0,0
0,21.5,18.1,25.8,4904,46,1017,3841,46,0,0,0
0.3,21.2,17.6,26.2,4944,40,1010,3888,46,0,0,0
0,19.7,15.6,24.9,4972,28,964,3961,47,0,0,0
0,19.1,13.6,25.3,4995,23,962,3985,48,0,0,0
0,20.2,15.5,25.6,5016,21,933,4034,49,0,0,0
0,19.2,15.2,23.8,5056,40,897,4110,49,0,0,0
0,20.6,16.8,25.4,5095,39,872,4173,50,0,0,0
0,20.1,16.6,25.4,5152,57,872,4228,52,0,0,0
0,19.3,14.8,24.8,5178,26,809,4316,53,0,0,0
0,20.4,14.9,25.8,5212,34,833,4326,53,0,0,0
0,20.7,15.7,26.5,5231,19,847,4330,54,0,0,0
0,19.6,15.3,23.9,5242,11,787,4401,54,0,0,0
38.3,19.6,16.2,25.7,5293,51,822,4415,56,0,0,0
0,18.8,15.6,23.6,5323,30,833,4433,57,0,0,0
0,19.2,16.3,21.9,5334,11,832,4445,57,0,0,0
0,19.9,18.3,23.2,5360,26,845,4456,59,0,0,0
0,16.6,10.6,21.8,5376,16,850,4466,60,0,0,0
0,13.3,8.5,18.4,5395,19,859,4475,61,0,0,0
0,14.2,9.3,19.7,5410,15,765,4584,61,0,0,0
0,16,9.9,22,5443,33,646,4736,61,0,0,0
0,17.2,12.1,23.1,5463,20,592,4809,62,0,0,0
0,17.2,12.4,23.3,5485,22,577,4846,62,0,0,0
0,16.9,12.3,21.5,5510,25,600,4847,63,0,0,0
0,16.9,12.7,20.8,5533,23,591,4878,64,0,0,0
0,16.2,12.1,21.3,5564,31,606,4894,64,0,0,0
0,13.6,8.6,18.4,5584,20,554,4965,65,0,0,0
